Designator,Mid X,Mid Y,Rotation,Layer
C1,143.551,-67.862,0.0,top
C10,183.7585,-78.977,270.0,top
C11,136.52,-76.04,180.0,top
C12,136.8,-70.88,180.0,top
C13,185.2785,-79.03,270.0,top
C14,140.7,-82.84,180.0,top
C2,151.394,-84.018,180.0,top
C3,140.39,-70.68,90.0,top
C4,155.49,-72.61,270.0,top
C5,144.621,-84.074,180.0,top
C6,185.2235,-75.017,90.0,top
C7,136.64,-79.72,90.0,top
C8,137.978,-79.694,90.0,top
C9,138.42,-78.19,180.0,top
IC1,147.53,-76.23,270.0,top
J1,166.19,-73.69,0.0,top
J2,165.6725,-78.04,0.0,top
J3,176.7375,-83.59,0.0,top
J4,176.7395,-68.053,0.0,top
L1,137.04,-81.73,90.0,top
R1,149.291,-84.028,90.0,top
R2,138.42,-77.07,180.0,top
R3,145.76,-68.21,90.0,top
R4,139.17,-81.76,90.0,top
R5,139.795,-79.72,0.0,top
R6,140.9,-81.61,180.0,top
R7,139.63,-75.78,180.0,top
U1,190.56,-76.07,0.0,top
U2,181.97,-75.13,270.0,top
U3,176.61,-75.06,270.0,top
U4,138.08,-82.11,270.0,top
U5,173.32,-75.57,90.0,top
Y1,138.06,-73.27,180.0,top
