Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,CAPC1005X55N,143.551,-67.862,0,top
C2,100nF,CAPC1005X55N,151.394,-84.018,180,top
C3,100nF,CAPC1005X55N,140.39,-70.68,90,top
C4,100nF,CAPC1005X55N,155.49,-72.61,-90,top
C5,100nF,CAPC1005X55N,144.621,-84.074,180,top
C6,4.7uF,CAPC1005X55N,185.2235,-75.017,90,top
C7,100nF,CAPC1005X55N,136.64,-79.72,90,top
C8,1uF,CAPC1005X55N,137.978,-79.694,90,top
C9,100nF,CAPC1005X55N,138.42,-78.19,180,top
C10,100nF,CAPC1005X55N,183.7585,-78.977,-90,top
C11,100nF,CAPC1005X55N,136.52,-76.04,180,top
C12,100nF,CAPC1005X55N,136.8,-70.88,180,top
C13,10uF,CAPC1005X55N,185.2785,-79.03,-90,top
C14,100nF,CAPC1005X55N,140.7,-82.84,180,top
IC1,STM32F103R8T6,LQFP-64_10x10mm_P0.5mm,147.53,-76.23,0,top
L1,27nH,INDC1005X55N,137.04,-81.73,90,top
R1,10K,RESC1005X40N,149.291,-84.028,90,top
R2,10K,RESC1005X40N,138.42,-77.07,180,top
R3,10K,RESC1005X40N,145.76,-68.21,90,top
R4,330,RESC1005X40N,139.17,-81.76,90,top
R5,170,RESC1005X40N,139.795,-79.72,0,top
R6,3.5k,RESC1005X40N,140.9,-81.61,180,top
R7,220,RESC1005X40N,139.63,-75.78,180,top
U1,AMS1117-3.3,SOT229P700X180-4N,190.56,-76.07,180,top
U2,10uF,CP_Elec_4x5.4,181.97,-75.13,90,top
U3,10uF,CP_Elec_4x5.4,176.61,-75.06,90,top
U4,PESD2V0Y1BSFYL,DIO_PESD5V0R1BSFYL,138.08,-82.11,-90,top
U5,PESD2V0Y1BSFYL,DIO_PESD5V0R1BSFYL,173.32,-75.57,90,top
Y1,NX3225GD-8MHZ-STD-CRA-3,XTAL_NX3225GD-8MHZ-STD-CRA-3,138.06,-73.27,180,top
